"date","SP500"
2000-01-04,-2.7837549919057
2000-01-05,0.144656641716935
2000-01-06,0.0757552293543035
2000-01-07,1.9158240583646
2000-01-10,0.801980807973067
2000-01-11,-0.931128323208974
2000-01-12,-0.30627158423867
2000-01-13,0.871114460132107
2000-01-14,0.765354792930878
2000-01-18,-0.48185884705664
2000-01-19,0.0448362807792325
2000-01-20,-0.500780784282851
2000-01-21,-0.200657582972264
2000-01-24,-1.99298977414624
2000-01-25,0.439221404508075
2000-01-26,-0.293820767986998
2000-01-27,-0.274166641017351
2000-01-28,-1.98000959492658
2000-01-31,1.78553407811784
2000-02-01,0.762278448442153
2000-02-02,-0.000545951359109404
2000-02-03,0.806088868754849
2000-02-04,-0.0225064342920358
2000-02-07,0.00104370248073727
2000-02-08,0.878417641919055
2000-02-09,-1.4941480178068
2000-02-10,0.266011011173978
2000-02-11,-1.50537180739596
2000-02-14,0.152548556686756
2000-02-15,0.626863345227496
2000-02-16,-0.728431705970933
2000-02-17,0.0379065872551338
2000-02-18,-2.19462915112837
2000-02-22,0.329289395440912
2000-02-23,0.4559789716283
2000-02-24,-0.374366311258417
2000-02-25,-1.05901764348932
2000-02-28,0.78978803579002
2000-02-29,0.973836089655502
2000-03-01,0.671647969632091
2000-03-02,0.14046592967565
2000-03-03,1.40987180493968
2000-03-06,-0.904575156387807
2000-03-07,-1.84611497021778
2000-03-08,0.588690124171697
2000-03-09,1.81228217000479
2000-03-10,-0.330407245606569
2000-03-13,-0.580793978516357
2000-03-14,-1.26631504815612
2000-03-15,1.71969226915448
2000-03-16,3.33048990335315
2000-03-17,0.300650771603657
2000-03-20,-0.375654247024049
2000-03-21,1.80977944793748
2000-03-22,0.330360252739293
2000-03-23,1.2670688989747
2000-03-24,0.0127010740852032
2000-03-27,-0.160895945825372
2000-03-28,-0.752134177629288
2000-03-29,0.0449561525470978
2000-03-30,-0.974050592479768
2000-03-31,0.517203984694783
2000-04-03,0.35874514423296
2000-04-04,-0.527271076537848
2000-04-05,-0.344833175367941
2000-04-06,0.674960035138462
2000-04-07,0.717759062529742
2000-04-10,-0.554433827111395
2000-04-11,-0.17631845068474
2000-04-12,-1.60036850835757
2000-04-13,-1.30161116944174
2000-04-14,-4.27909448598445
2000-04-17,2.33119278730998
2000-04-18,2.02507512666247
2000-04-19,-0.696129513928975
2000-04-20,0.360271329247825
2000-04-24,-0.225723358014121
2000-04-25,2.34448050321802
2000-04-26,-0.79176957062422
2000-04-27,0.199339330770435
2000-04-28,-0.603730147527952
2000-05-01,0.780947608185011
2000-05-02,-1.0682641331561
2000-05-03,-1.54885795324844
2000-05-04,-0.271970409256571
2000-05-05,1.16602978991207
2000-05-08,-0.415267017411926
2000-05-09,-0.598039317576037
2000-05-10,-1.47843990633982
2000-05-11,1.27432048806086
2000-05-12,0.671305631039376
2000-05-15,1.56795117577968
2000-05-16,0.676850861211195
2000-05-17,-0.886230179146747
2000-05-18,-0.516548813338146
2000-05-19,-1.51159469345497
2000-05-22,-0.309260835436888
2000-05-23,-1.37471051915978
2000-05-24,1.3046642069183
2000-05-25,-0.892610152695861
2000-05-26,-0.173533527197567
2000-05-30,2.27299914500425
2000-05-31,-0.0853493274804765
2000-06-01,1.41132692721129
2000-06-02,1.39585506233121
2000-06-05,-0.459346223906826
2000-06-06,-0.470254762012706
2000-06-07,0.666583923738185
2000-06-08,-0.464155073805615
2000-06-09,-0.223346422405069
2000-06-12,-0.531016613941374
2000-06-13,1.15553748789032
2000-06-14,0.0609815552017425
2000-06-15,0.404057802660405
2000-06-16,-0.6847169821857
2000-06-19,1.0499594808703
2000-06-20,-0.476903319500059
2000-06-21,0.161208324075863
2000-06-22,-1.30518382189914
2000-06-23,-0.520409858134056
2000-06-26,0.689237413007974
2000-06-27,-0.226325790041067
2000-06-28,0.217404093041751
2000-06-29,-0.605022600269942
2000-06-30,0.609345405571046
2000-07-03,0.737062297788742
2000-07-05,-1.13392183220189
2000-07-06,0.521060262838935
2000-07-07,1.08880927901714
2000-07-10,-0.150950681838099
2000-07-11,0.261586155407013
2000-07-12,0.585639416098269
2000-07-13,0.147055964565426
2000-07-14,0.679236381599525
2000-07-17,0.0316679841301908
2000-07-18,-0.788520385046584
2000-07-19,-0.557675292956643
2000-07-20,0.66020262137702
2000-07-21,-0.730400478921159
2000-07-24,-0.763456251975609
2000-07-25,0.502161876869561
2000-07-26,-1.06811520322987
2000-07-27,-0.130201017373009
2000-07-28,-1.4717984676765
2000-07-31,0.555502872079722
2000-08-01,0.369374241374882
2000-08-02,0.0373388454078216
2000-08-03,0.692022795667955
2000-08-04,0.515414615093065
2000-08-07,0.802939399449125
2000-08-08,0.175303866304744
2000-08-09,-0.472135712578195
2000-08-10,-0.60677186461405
2000-08-11,0.57194933491875
2000-08-14,0.957712981431681
2000-08-15,-0.334521745850512
2000-08-16,-0.213046251595951
2000-08-17,0.785783531881582
2000-08-18,-0.200319060866652
2000-08-21,0.377974108820016
2000-08-22,-0.0567430118155667
2000-08-23,0.380185817922757
2000-08-24,0.118401350581854
2000-08-25,-0.0805311654365407
2000-08-28,0.368703631909188
2000-08-29,-0.193112913702018
2000-08-30,-0.336071435319276
2000-08-31,0.720934415913733
2000-09-01,0.15276322706384
2000-09-05,-0.63800931512307
2000-09-06,-0.698418133813081
2000-09-07,0.496727278189538
2000-09-08,-0.374046993833607
2000-09-11,-0.243188873644851
2000-09-12,-0.341795095192856
2000-09-13,0.148083768091227
2000-09-14,-0.186937487822015
2000-09-15,-0.722177363070273
2000-09-18,-1.03744258695612
