"date","DAX"
2000-01-04,-1.4641137802715
2000-01-05,-0.77164689074974
2000-01-06,-0.246959671403645
2000-01-07,2.76104354761994
2000-01-10,1.26273977974513
2000-01-11,-0.293322630901292
2000-01-12,0.189491957902976
2000-01-13,0.374736880817603
2000-01-14,1.83956283111865
2000-01-17,0.712055344929766
2000-01-18,-1.55389601410501
2000-01-19,0.162497653507764
2000-01-20,0.184747544049152
2000-01-21,-1.01247970031474
2000-01-24,-0.518254738308321
2000-01-25,-1.06057244970453
2000-01-26,1.38762580975183
2000-01-27,1.33136165710979
2000-01-28,-0.498061678351217
2000-01-31,-1.98193543582853
2000-02-01,1.85124965619652
2000-02-02,1.02327055217036
2000-02-03,1.50208746861605
2000-02-04,0.732174993253619
2000-02-07,-1.19867924763603
2000-02-08,2.04313307047233
2000-02-09,0.626406235589761
2000-02-10,0.627169638819114
2000-02-11,-0.758916504056161
2000-02-14,0.263256156636283
2000-02-15,-1.9719964138449
2000-02-16,0.758696710825702
2000-02-17,0.717904685758091
2000-02-18,-0.0502653405502202
2000-02-21,0.134871078616358
2000-02-22,0.139761455664007
2000-02-23,0.713277253116827
2000-02-24,-0.452119355748926
2000-02-25,0.76523794683094
2000-02-28,-1.17822867833894
2000-02-29,0.45321608806656
2000-03-01,0.650804975104483
2000-03-02,1.66312896960429
2000-03-03,0.110022059516199
2000-03-06,0.120988433011937
2000-03-07,0.667077961773695
2000-03-08,-0.577248296122649
2000-03-09,-0.280755133469759
2000-03-10,0.203946941541031
2000-03-13,-2.14761891736459
2000-03-14,-0.338023105932715
2000-03-15,-1.86516862694177
2000-03-16,1.35285358795253
2000-03-17,0.994442398465423
2000-03-20,1.24055128827451
2000-03-21,-0.488010227967966
2000-03-22,-0.0683165010872878
2000-03-23,-0.797613226133701
2000-03-24,1.81943989568708
2000-03-27,-0.298448946227866
2000-03-28,0.300633967565306
2000-03-29,-0.504960369546304
2000-03-30,-1.69045400684335
2000-03-31,-0.353571437966693
2000-04-03,-1.34959301475749
2000-04-04,0.750509177614218
2000-04-05,-1.54134497772379
2000-04-06,0.93607041105925
2000-04-07,0.609322504487789
2000-04-10,-0.0387594258438398
2000-04-11,-0.590231072448634
2000-04-12,0.00622699920537533
2000-04-13,0.0509805908122392
2000-04-14,-1.90513361160841
2000-04-17,-0.226712519997899
2000-04-18,0.0805810418696889
2000-04-19,0.170502876618949
2000-04-20,-0.485322512862363
2000-04-25,1.01685440056202
2000-04-26,0.882677163046901
2000-04-27,-1.36084917547208
2000-04-28,1.57756081260059
2000-05-02,1.12986365007627
2000-05-03,-1.42882566441049
2000-05-04,0.0820613988338256
2000-05-05,1.15685505533304
2000-05-08,-0.978371913029702
2000-05-09,-1.03429101967741
2000-05-10,-1.32148923129634
2000-05-11,1.15435881234817
2000-05-12,0.0835049902312891
2000-05-15,-0.609216858674001
2000-05-16,1.44548185407408
2000-05-17,-1.30396864310638
2000-05-18,-0.245443372546663
2000-05-19,-1.62016525312649
2000-05-22,-0.650652246391699
2000-05-23,0.130056183803407
2000-05-24,-0.802563754130162
2000-05-25,1.24802694485901
2000-05-26,-1.20328200745652
2000-05-29,1.53167342325261
2000-05-30,0.86988926438964
2000-05-31,-0.0775656003613884
2000-06-01,1.35743363906799
2000-06-02,1.35228652143118
2000-06-05,-0.245895263466851
2000-06-06,-0.387073606060028
2000-06-07,-0.599518356097425
2000-06-08,-0.263810779683337
2000-06-09,-0.0520061448194375
2000-06-12,-0.0522217136627802
2000-06-13,0.240112871916417
2000-06-14,0.673128088865403
2000-06-15,-0.178675347427814
2000-06-16,-0.619960937568608
2000-06-19,-0.441568929415405
2000-06-20,0.238661353923177
2000-06-21,-1.05736164907958
2000-06-22,-0.295234486369244
2000-06-23,-0.714153336583877
2000-06-26,0.401835549223358
2000-06-27,0.187667844780829
2000-06-28,0.0481629058113291
2000-06-29,-1.47439186241278
2000-06-30,0.00727601453735961
2000-07-03,0.689526238091943
2000-07-04,-0.148747310461619
2000-07-05,0.152133835390577
2000-07-06,0.0978269495439023
2000-07-07,0.616200179263874
2000-07-10,0.184503064254509
2000-07-11,-0.507782679581693
2000-07-12,0.511543973339433
2000-07-13,0.846718115945187
2000-07-14,1.28436390088534
2000-07-17,0.883522638133483
2000-07-18,-0.188574458883976
2000-07-19,-0.323213608755286
2000-07-20,0.916642301228778
2000-07-21,-0.811214022237479
2000-07-24,-0.522705350880287
2000-07-25,0.127408446112943
2000-07-26,-0.499963329772438
2000-07-27,-0.695975699133039
2000-07-28,-0.457256578308713
2000-07-31,0.520717997865683
2000-08-01,-0.370662347414089
2000-08-02,-0.274185811140987
2000-08-03,-0.848751033020287
2000-08-04,0.0442323750269681
2000-08-07,0.819795267564774
2000-08-08,0.260471455016826
2000-08-09,0.690733688305204
2000-08-10,0.449670156876993
2000-08-11,0.34653285981844
2000-08-14,0.0737657236175675
2000-08-15,-0.194843079334558
2000-08-16,0.0669773447148241
2000-08-17,-0.298585096277459
2000-08-18,-0.37578879828756
2000-08-21,-0.270848824151777
2000-08-22,0.415124089851334
2000-08-23,-0.132491220050663
2000-08-24,-0.0178744501347769
2000-08-25,0.634859077647086
2000-08-28,0.264311109793867
2000-08-29,-0.362898195880175
2000-08-30,-0.835660900495616
2000-08-31,0.433972021800718
2000-09-01,0.820667849065075
2000-09-04,0.817724226165649
2000-09-05,-0.434126695887757
2000-09-06,-0.495006883618267
2000-09-07,0.355829484612565
2000-09-08,-0.913659296393313
2000-09-11,-0.381499834469709
2000-09-12,-0.652129291250178
2000-09-13,-1.09077098691938
